,text
3519,RT @surinder_dass7: #NevadaCaucus #ShaheenBaghProtest #TrumpIndiaVisit #SundayThoughts #ShaheenBagh #Kashmir #WildervsFury2 #Pakistan #Sund…
3520,RT @Jana_Shah: India had been conducting false flags in the past to cash international sympathies whenever there's any high profile interna…
3521,"Women of Kashmir continue to be the backbone of 7 decades of struggle. They are mothers, but also storytellers, org… https://t.co/Y1qOh2QAOg"
3522,RT @zamud_doudd: PublicSafetyAct (PSA)-detention without any charge or any trial for upto 2 years!Wailing mothers and heart broken fathers!…
3523,"RT @KASHMlRandME: #Kashmir: A look at the Kunan Poshpora rapes.

Kashmiris never forget
Kashmiris never forgive.
 https://t.co/6I0gyprLiE"
3524,"@majorgauravarya @Ibne_Sena If this is the benchmark of bravery,I can only feel for u ppl's cowardice.among million… https://t.co/jR9TOw2C7J"
3525,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3526,RT @KASHMlRandME: Indian aggressive military preparations along CFL n removal of fences from five places also the deployment of Brahmos and…
3527,"RT @KASHMlRandME: #Kashmir: A look at the Kunan Poshpora rapes.

Kashmiris never forget
Kashmiris never forgive.
 https://t.co/6I0gyprLiE"
3528,"#PCBJawabDo while indian is doing worst atrocities in #KashmirLockdown #Kashmir ,and  #pcb has hired indian staff,… https://t.co/UoyYbmH6dd"
3529,RT @SaqibAliHaidri: These pictures show the house situated within the civilian population area was hit by #IndianArmy armed forces last nig…
3530,"RT @RounakSingh27: A picture is worth a thousand words ❤❤

#IndianArmy #Kashmir #SundayMotivation #sundayvibes https://t.co/ixUGE0GD3N"
3531,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3532,"RT @bishwa55900127: #LOC is really hot..  Neelam Valley in #POK seems badly hit..  

Road between Athmuqam and Sharda Peeth seems to be clo…"
3533,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3534,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3535,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3536,"RT @KASHMlRandME: #Kashmir: A look at the Kunan Poshpora rapes.

Kashmiris never forget
Kashmiris never forgive.
 https://t.co/6I0gyprLiE"
3537,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3538,"RT @Shazia: What mountains have witnessed nearly 3 decades ago,in 2 nondescript villages of #KunanPoshpora, will India &amp; rest of the world…"
3539,RT @AsimKhanTweets: Why is congress leader @ShatruganSinha discussing India's internal matter (Kashmir) with President of Pakistan despite…
3540,"RT @KASHMlRandME: India’s launching the war is a certainty certainty. The only question in ""when""? Can be mid 2020 when military manages to…"
3541,RT @KASHMlRandME: Indian aggressive military preparations along CFL n removal of fences from five places also the deployment of Brahmos and…
3542,"RT @MughalAmiruddin: A residential house damaged due to #IndianTroops Shelling in Banchattar Village Near Ceasefire line #CFL, totel 4 hous…"
3543,"#Kashmir: A look at the Kunan Poshpora rapes.

Kashmiris never forget
Kashmiris never forgive.
 https://t.co/6I0gyprLiE"
3544,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3545,RT @surinder_dass7: #NevadaCaucus #ShaheenBaghProtest #TrumpIndiaVisit #SundayThoughts #ShaheenBagh #Kashmir #WildervsFury2 #Pakistan #Sund…
3546,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3547,"RT @Shazia: What mountains have witnessed nearly 3 decades ago,in 2 nondescript villages of #KunanPoshpora, will India &amp; rest of the world…"
3548,#NevadaCaucus #ShaheenBaghProtest #TrumpIndiaVisit #SundayThoughts #ShaheenBagh #Kashmir #WildervsFury2 #Pakistan… https://t.co/RyhfXYY4pw
3549,"Loot, rapes, killing, disappearances and all other doses of torture are a routine here. The beasts in uniform never… https://t.co/qT79gaDmyr"
3550,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3551,"RT @MughalAmiruddin: Exclusive Live Reporting,
 at Night 22 and 23 feb #IndianArmy Targeting Civil population in NeelumValley Many Houses a…"
3552,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3553,RT @KASHMlRandME: Indian shameless media is falsely prpogating the damaged civilian houses as terrorist camps in Azad #kashmir.Whereas Paki…
3554,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3555,Restrictions in IOK on Kunan-poshpra mass rape anniversary. #pakistan https://t.co/PZeBgahNJy #Kashmir
3556,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3557,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3558,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3559,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3560,"RT @farrahraja: I can't Thank enough Pakistan army for standing with #Kashmir. 
In darkest of times- You are my hope. 
#Kashmir @OfficialDG…"
3561,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3562,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3563,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3564,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3565,Ahh! Thank you so much for proving that #kashmir is not the part of your democracy. It is a part of your punishing… https://t.co/hBYlSqyAk4
3566,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3567,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3568,"RT @oye_nabeel: BJP MP on Donald Trump's visit to India #TrumpIndiaVisit
#CitizenshipAmendmentAct #swarabhaskar #Kashmir #ShaheenBaghProtes…"
3569,"RT @SoStarMusic: Congress' Shatrughan Sinha Meets Pakistan President Arif Alvi, Discusses #Kashmir

Both #ArifAlvi and #ShatrughanSinha agr…"
3570,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3571,"RT @oye_nabeel: BJP MP on Donald Trump's visit to India #TrumpIndiaVisit
#CitizenshipAmendmentAct #swarabhaskar #Kashmir #ShaheenBaghProtes…"
3572,"@project_polis Pl help in getting #JusticeForKonanPoshpora
#Kashmir. 

@mbachelet @hrw @amnesty @IvankaTrump… https://t.co/4MbpqVtp5m"
3573,"RT @SaqibAliHaidri: The house of M. Sadiq from Shahkot in #neelumvalley became debris now, his son can be seen in the picture with sad eyes…"
3574,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3575,"@the_hindu @DrAmbardar @sheela_pan @sunandavashisht @subhashkak1 #TheHuddle2020 #Kashmir 
 Having a person such as… https://t.co/ivo84wxSih"
3576,"https://t.co/qMzmBZkNBA
How people play pubg in Kashmir?
#Vpn #Kashmir #vpnkashmir #pubg #gameplay #pubgmobile"
3577,"RT @Kashmir02642982: You can see what Indian  army has done last night with the people of #Neelumvalley.
#loc #Kashmir #pakarmy https://t.c…"
3578,"RT @MughalAmiruddin: Exclusive Live Reporting,
 at Night 22 and 23 feb #IndianArmy Targeting Civil population in NeelumValley Many Houses a…"
3579,RT @human_kashmir: @thewire_in @manabiloo @shahfaesal Neither are innocent children and people of #Kashmir who are jailed by present regime…
3580,RT @SaqibAliHaidri: An audio revealed probably of any #PakistanArmy official reported his senior about movement of #IndianArmy on #LOC &amp; ex…
3581,RT @Iyervval: Hosted a fascinating panel at #Arth on #Kashmir &amp; the impact of #Article370. Topics including #kashmiripandits #Dalit &amp; #LGBT…
3582,"RT @MughalAmiruddin: #IndianTroops Shelling, last night 
Photos an other damaged Residential house Near Ceasefire line #CFL #NeelumValley #…"
3583,"RT @SoStarMusic: Congress' Shatrughan Sinha Meets Pakistan President Arif Alvi, Discusses #Kashmir

Both #ArifAlvi and #ShatrughanSinha agr…"
3584,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3585,"RT @MughalAmiruddin: A Residential house burnt due to #IndianTroops Shelling, last night 
In Shahkot Village Near Ceasefire line #CFL #Neel…"
3586,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3587,"RT @SaqibAliHaidri: Glimpses of burnt house of M. Sadiq r/o Shahkot near Athmuqam #neelumvalley due to #IndianArmy shelling last night. 
Wi…"
3588,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3589,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3590,"RT @meghkalyansun1: @the_hindu #TheHuddle2020 #Kashmir Here is a brief thread, written after attending the panel discussion in-person, to c…"
3591,RT @_madeinkashmir: Never Forget. #KunanPoshpora #Kashmir https://t.co/naGWCs5oaz
3592,RT @SaveSabrimala: @KhajuriaManu @arth_live The day #Jammu #Dogras are given representation at National level the Indian State's Contract w…
3593,"RT @mohsin_shakil: @KashmirOSINT Law for occupied territories #Kashmir &amp; so called Hindu Rashtra #India are different: 
#FascismAtWork 
#RS…"
3594,"Special status for #Jammu and #Kashmir has gone, but outside investors cannot buy land here https://t.co/VwJ1PM1ob8 via @scroll_in"
3595,"@the_hindu #TheHuddle2020 #Kashmir Here is a brief thread, written after attending the panel discussion in-person,… https://t.co/Fl7bBcMQaa"
3596,RT @Shoukatdar2: Saudi Arabia's double game in South Asia @TRTWorld https://t.co/lqCvTyFVlR Saudi government has shown almost zero interest…
3597,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3598,"RT @KashScientist: That dark night in #kunanposhpora in #Kashmir.
#WomenResistanceDay
#StandWithKashmir
https://t.co/8jVg0kTca8"
3599,RT @KASHMlRandME: Indian shameless media is falsely prpogating the damaged civilian houses as terrorist camps in Azad #kashmir.Whereas Paki…
3600,"RT @Ahl_E_Hind: #kashmirbleeds #blackday
A thread from #instagram on what happened in #kunanposhpora #kashmir.
#NewYorkTimes https://t.co/k…"
3601,Senior @BJP4India leader &amp; in-charge #Kashmir Affairs Ram Madhav along wd MHA team left for New Delhi. The Madhav-l… https://t.co/Bpo3k5q7u6
3602,RT @_madeinkashmir: Never Forget. #KunanPoshpora #Kashmir https://t.co/naGWCs5oaz
3603,RT @standwkashmir: “Little do people realize that India is a neo-imperial nation that repressed Kashmiris and ruled #Kashmir as a colony wi…
3604,"RT @KASHMlRandME: India’s launching the war is a certainty certainty. The only question in ""when""? Can be mid 2020 when military manages to…"
3605,"RT @tuhins: My speech on ‘Kashmir: Abrogation of Article 370 and the way ahead’ at Chitnavis Centre, Nagpur on 6 December, 2019 @raisoniwor…"
3606,RT @KASHMlRandME: Indian aggressive military preparations along CFL n removal of fences from five places also the deployment of Brahmos and…
3607,"RT @RounakSingh27: A picture is worth a thousand words ❤❤

#IndianArmy #Kashmir #SundayMotivation #sundayvibes https://t.co/ixUGE0GD3N"
3608,"RT @WaleedRaja93: A total communication blackout in #Kashmir. All networks down
 #WomenResistanceDay"
3609,I am the biggest supporter of jailing fake news handles and fake news propagators. This has harmed Kashmir more than anything #Kashmir
3610,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3611,RT @WIONews: Watch:  Filmmaker @vivekagnihotri speaks on #Kashmir and '#Kashmiriyat' in present times at #Arth festival https://t.co/DJNgkO…
3612,"Yeh Shatrughan nahin Shatru hain🤨🤨

Why should an Indian leader discuss our internal issue #Kashmir with Pax?

How… https://t.co/8qorAfQ5cQ"
3613,RT @SaqibAliHaidri: An audio revealed probably of any #PakistanArmy official reported his senior about movement of #IndianArmy on #LOC &amp; ex…
3614,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3615,RT @sosttoday: Gilgit Baltistan can't get the status of province. Federal Minister for #Kashmir Affairs and #Gilgit-#Baltistan Ali Amin Kha…
3616,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3617,"RT @faizanAkashmiri: #Breaking 

Another indian MiG-29K fighter aircraft on a routine training sortie has crashed off #Goa 
The pilot of th…"
3618,"Indian navy Mig-29 destroy near Goa. Indian army losing the aircrafts.
#loc #Kashmir https://t.co/yjUSYfDydO"
3619,"RT @Shannniiiiiii: Yesterday..
11 Endian Posts or Bunkers completly destroyed.
21 Endian soliders killed as per initial info.
Dozens of End…"
3620,RT @SaqibAliHaidri: An audio revealed probably of any #PakistanArmy official reported his senior about movement of #IndianArmy on #LOC &amp; ex…
3621,RT @hurairahbhai: An audio revealed probably of any #PakistanArmy official reported his senior about movement of #IndianArmy on #LOC &amp; expe…
3622,"RT @SKha_n: What women are facing &amp; fighting against the undeclared war in #Kashmir. Sufferings &amp; hardships....
#WomenResistanceDay
https:/…"
3623,"RT @Kasheerfirst: #Indian army carried out a planned mass rape of the women in #KunanPoshpora . while the women were gang-raped, the men we…"
3624,RT @Iyervval: Hosted a fascinating panel at #Arth on #Kashmir &amp; the impact of #Article370. Topics including #kashmiripandits #Dalit &amp; #LGBT…
3625,Thank you for acknowledging the fact that there is no democracy and feee press for Kashmir. It's mere occupation.… https://t.co/vYqmQxOYKU
3626,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3627,"RT @WPCION: #Kashmir is under siege for 201 days now.
Your silence is criminal. Speak out against Facism. #ModiisaTerrorist 
#IntolerantInd…"
3628,"RT @Kasheerfirst: #Indian army carried out a planned mass rape of the women in #KunanPoshpora . while the women were gang-raped, the men we…"
3629,"@narendramodi .

Prior to Clinton's visit to india in 2000

Indian agencies killed 35 villagers of Sikh Faith

This… https://t.co/UcSGfw0242"
3630,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3631,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3632,"RT @MughalAmiruddin: Exclusive Live Reporting,
 at Night 22 and 23 feb #IndianArmy Targeting Civil population in NeelumValley Many Houses a…"
3633,"RT @farrahraja: I can't Thank enough Pakistan army for standing with #Kashmir. 
In darkest of times- You are my hope. 
#Kashmir @OfficialDG…"
3634,RT @AsimKhanTweets: Why is congress leader @ShatruganSinha discussing India's internal matter (Kashmir) with President of Pakistan despite…
3635,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3636,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3637,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3638,RT @AlphaStance: @bababanaras #PakistanArmy's  pre-emptive strikes on #IndianArmy's #terrorist camps &amp; launchpads at #LOC #NeelumValley #Ka…
3639,"RT @zari_pakistani: India refuses to let critical #Labour MP into country

No reason given for revoking visa of Debbie Abrahams, who chairs…"
3640,"@KhurramParvez @nayeema1 Pl help in getting #JusticeForKonanPoshpora
#Kashmir.
@antonioguterres @OIC_OCI @mbachelet… https://t.co/JuWjOaSyEr"
3641,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3642,"RT @oyevivekk: 10984 DAYS since Kashmiri hindus were kicked out from their home

We still don't know how many Kashmiris were slaughtered, r…"
3643,"I can't Thank enough Pakistan army for standing with #Kashmir. 
In darkest of times- You are my hope. 
#Kashmir… https://t.co/9eS424o34h"
3644,"RT @MughalAmiruddin: Exclusive Live Reporting,
 at Night 22 and 23 feb #IndianArmy Targeting Civil population in NeelumValley Many Houses a…"
3645,RT @KASHMlRandME: Indian aggressive military preparations along CFL n removal of fences from five places also the deployment of Brahmos and…
3646,RT @AlphaStance: @bababanaras #PakistanArmy's  pre-emptive strikes on #IndianArmy's #terrorist camps &amp; launchpads at #LOC #NeelumValley #Ka…
3647,"RT @_sifa_k: I am Muslim girl but no less than any patriot boy. My religion is Islam but my culture is Hindustani.
#Kashmir"
3648,"RT @oyevivekk: 10984 DAYS since Kashmiri hindus were kicked out from their home

We still don't know how many Kashmiris were slaughtered, r…"
3649,RT @standwkashmir: We are in awe of #Kashmir’s brave students. #FreeKashmir https://t.co/DaW33NCCDN
3650,In-depth: ‘Stopping short of completely ignoring the situation in the #Kashmir Valley since the Indian government c… https://t.co/e676U4vF9v
3651,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3652,"RT @oyevivekk: 10984 DAYS since Kashmiri hindus were kicked out from their home

We still don't know how many Kashmiris were slaughtered, r…"
3653,RT @NavitaSrikant: “Mr. @ShatruganSinha endorsed concern of the President about the lockdown of occupied Kashmir for more than 200 days.”…
3654,"BJP MP on Donald Trump's visit to India #TrumpIndiaVisit
#CitizenshipAmendmentAct #swarabhaskar #Kashmir… https://t.co/l7842nmx2g"
3655,"RT @AfsheenArshad17: Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, sons…"
3656,"RT @RougePouts: Finally I finished one of the most procrastinated projects! 😁 
The #travelvlog of my #solotrip to Kashmir is out!! 🥳 🙌🏻

He…"
3657,RT @SaqibAliHaidri: An audio revealed probably of any #PakistanArmy official reported his senior about movement of #IndianArmy on #LOC &amp; ex…
3658,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3659,"Women in #Kashmir have suffered immensely as the conflict in the region continues. Many have lost their husbands, s… https://t.co/8WYYQLftx5"
3660,@Zulm_Ti_Kuta's account has been withheld in India in response to a legal demand. Learn more.
3661,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
3662,RT @standwkashmir: “Little do people realize that India is a neo-imperial nation that repressed Kashmiris and ruled #Kashmir as a colony wi…
3663,"RT @SoStarMusic: Congress' Shatrughan Sinha Meets Pakistan President Arif Alvi, Discusses #Kashmir

Both #ArifAlvi and #ShatrughanSinha agr…"
3664,Never Forget #KunanPoshpora #Kashmir https://t.co/56dtJ1eM2j
3665,"RT @Hashmi4144: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunity. 29…"
3666,"#202Days of Crisis has went quite a long now in #Kashmir, people of India must speak up before it’s too late, situa… https://t.co/c7w5R1fvfK"
3667,#Kashmir: Selling of Books/Uniforms in school premises is illegal as per order (No: DSEK/PS/483) issued by Director… https://t.co/ll6Y117bSs
3668,Never Forget. #KunanPoshpora #Kashmir https://t.co/yub9PYPXAk
3669,"RT @Shannniiiiiii: Yesterday..
11 Endian Posts or Bunkers completly destroyed.
21 Endian soliders killed as per initial info.
Dozens of End…"
3670,"RT @oyevivekk: @imMAK02 10984 DAYS since Kashmiri hindus were kicked out from their home

We still don't know how many Kashmiris were slaug…"
3671,"RT @oyevivekk: 10984 DAYS since Kashmiri hindus were kicked out from their home

We still don't know how many Kashmiris were slaughtered, r…"
3672,Never Forget. #KunanPoshpora #Kashmir https://t.co/naGWCs5oaz
3673,"RT @DrJitendraSingh: Historic occasion for #Jammu &amp;  #Kashmir .India’s first Cannabis Medicinal Project,launched at IIIM (CSIR) with ""Canad…"
3674,What women are facing &amp; fighting against the undeclared war in #Kashmir. Sufferings &amp; hardships....… https://t.co/gg6QyG9gKf
3675,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3676,RT @SaqibAliHaidri: An audio revealed probably of any #PakistanArmy official reported his senior about movement of #IndianArmy on #LOC &amp; ex…
3677,"RT @oyevivekk: @imMAK02 10984 DAYS since Kashmiri hindus were kicked out from their home

We still don't know how many Kashmiris were slaug…"
3678,"RT @dastgeerikariw: Today is the anniversary of one of the horrific crimes of Indian state on our people. February 23, 1991- Indian occupyi…"
3679,"RT @woundedKashmir: Do you remember
                            #KunanPoshpora?

#Kupwara
#kashmir https://t.co/eOaAPGlwoB"
3680,"@arabnewspk @ShatruganSinha @ArifAlvi @pid_gov Pakistan President @ArifAlvi should not meet with any Indian,… https://t.co/GCHhi8OM7l"
3681,@thewire_in @manabiloo @shahfaesal Neither are innocent children and people of #Kashmir who are jailed by present r… https://t.co/ul0cZHi1Wz
3682,"RT @tkwmag: Hoping to go to #Kashmir where my mother was born: #MoeenAli

https://t.co/H0fz0tvnJu"
3683,"RT @KashScientist: In case you forgot, in #Kashmir 👇👇.
#kunanposhpora 
#WomenResistanceDay 
#StandWithKashmir https://t.co/BocevbR3Cf"
3684,"RT @zubair_b_l: We Remember Kunan-Poshpora 

Accused call themselves as most professional army in the world 

Never forget , never forgive…"
3685,"RT @JanKhanHD: Kashmir under the heel of India's colonialism .women's are biggest victims of inhuman siege of Kashmir 
#Kashmir #TrumpIndia…"
3686,"RT @maam_khatam: 23 years in jail &amp; counting: why Kashmiri politician Masrat Alam Bhat can't walk free |

""You will be tired of killing us.…"
3687,Paki army has construed fortified bunkers from reinforced concrete in the middle of civilian population along LOC.… https://t.co/qpEHuezes9
3688,"RT @HowardRoark25: 23 February 
#KunanPoshpora
#Kashmir
Will never forget
The last word is yet to be written to this gory chapter https://t…"
3689,@schaheid During the course of history #Kashmir has been the top of agenda on #Pakistan's foreign policy. Result= K… https://t.co/GdyHBSmIF1
3690,RT @Rudabanoor: This incidence is the slap on the face of one of world largest democratic state #India #KunanPoshpura #WomenResistanceDay #…
3691,RT @Rudabanoor: 53 women were raped by indian army at the night of 23 feb nd 24 feb 1991 at kunanPoshpura #WomenResistanceDay #Kashmir
3692,"RT @KashmirLobby: #Jammu &amp; #Kashmir: A look at the #KunanPoshpora mass rape indecent

#Womenresistanceday #KashmiriWomenresistanceday

http…"
3693,RT @rajnish1Midas: @Ibne_Sena @madhukishwar @rammadhavbjp @shaurya_doval @DrJitendraSingh @PMOIndia @HMOIndia @ImAvinashKhanna @TheChetak @…
3694,"RT @Ruthlessindia: PAF conducted today a fly past in #Islamabad with F16s..

They were planning for #SurpriseDay and ended up getting a sur…"
3695,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
3696,"RT @QasimKhanSuri: “It was a jail,”said Sagar.“The notion was given that it was five star but it was not.They put immense psychological pre…"
3697,RT @ayaz_wadera: #Kashmir will never forgive. #kunanposhpora #Freekashmir
3698,RT @Iyervval: Hosted a fascinating panel at #Arth on #Kashmir &amp; the impact of #Article370. Topics including #kashmiripandits #Dalit &amp; #LGBT…
3699,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3700,"RT @MughalAmiruddin: A Residential house burnt due to #IndianTroops Shelling, last night 
In Shahkot Village Near Ceasefire line #CFL #Neel…"
3701,"RT @NaikRooh: #WomenResistanceDay
This is how women are suffering under India's Kashmir crackdown. 
The plight of Kashmiri women is appalli…"
3702,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3703,@sawar_farooq's account has been withheld in India in response to a legal demand. Learn more.
3704,"RT @Aahmedbq: My father told me that in the 90's, he and many other prisoners went through this. Their nails were uprooted and salt and spi…"
3705,"RT @dastgeerikariw: Today is the anniversary of one of the horrific crimes of Indian state on our people. February 23, 1991- Indian occupyi…"
3706,RT @Iyervval: Hosted a fascinating panel at #Arth on #Kashmir &amp; the impact of #Article370. Topics including #kashmiripandits #Dalit &amp; #LGBT…
3707,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3708,"RT @MughalAmiruddin: Exclusive Live Reporting,
 at Night 22 and 23 feb #IndianArmy Targeting Civil population in NeelumValley Many Houses a…"
3709,"RT @zubair_b_l: We Remember Kunan-Poshpora 

Accused call themselves as most professional army in the world 

Never forget , never forgive…"
3710,"RT @oyevivekk: 10984 DAYS since Kashmiri hindus were kicked out from their home

We still don't know how many Kashmiris were slaughtered, r…"
3711,29 years since the #KunanPoshpora mass rape. 29 years of impunity. 29 years of denial of justice. Many decades of o… https://t.co/4Ld0I7Vw9b
3712,"RT @Aahmedbq: My father told me that in the 90's, he and many other prisoners went through this. Their nails were uprooted and salt and spi…"
3713,"RT @KASHMlRandME: This is what India is doing to our homes on both sides of Cease Fire Line.

#Kashmir https://t.co/9U4cmPQ6Ak"
3714,#Kashmir will never forgive. #kunanposhpora #Freekashmir https://t.co/Lv0TOh5Bj6
3715,RT @standwkashmir: “Little do people realize that India is a neo-imperial nation that repressed Kashmiris and ruled #Kashmir as a colony wi…
3716,RT @Iyervval: Hosted a fascinating panel at #Arth on #Kashmir &amp; the impact of #Article370. Topics including #kashmiripandits #Dalit &amp; #LGBT…
3717,"RT @MughalAmiruddin: Exclusive Live Reporting,
 at Night 22 and 23 feb #IndianArmy Targeting Civil population in NeelumValley Many Houses a…"
3718,RT @KASHMlRandME: Indian shameless media is falsely prpogating the damaged civilian houses as terrorist camps in Azad #kashmir.Whereas Paki…
3719,"RT @shefali_rafiq: Naveed Bhat, a militant from Qaimoh area of #kulgam district, killed in Sangam today morning, was yet to be buried till…"
3720,RT @KASHMlRandME: Indian shameless media is falsely prpogating the damaged civilian houses as terrorist camps in Azad #kashmir.Whereas Paki…
3721,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3722,"RT @Shazia: What mountains have witnessed nearly 3 decades ago,in 2 nondescript villages of #KunanPoshpora, will India &amp; rest of the world…"
3723,"Kashmir under the heel of India's colonialism .women's are biggest victims of inhuman siege of Kashmir 
#Kashmir… https://t.co/MBtmZpiMmd"
3724,"RT @KashScientist: ""We feel persecuted, even more than the men of the valley today.
SAMREEN, 22 yo, Srinagar"".
#kunanposhpora
#Kashmir
#Wom…"
3725,"RT @Asif_Plaisar: Mir Barieq hails from Dalkawpora, Rainawari area of Srinagar. She has passed her schooling from Minto Circle High School,…"
3726,RT @SehrishkhanAjk: India continuously targeting the Kashmiri civilians on LOC and their houses.why our Government and media is silent?if y…
3727,RT @Asif_Plaisar: Summayya Bashir From South #Kashmir's Anantnag District Secured First Position Throughout India in Master In Public Admin…
3728,"RT @MughalAmiruddin: Exclusive Live Reporting,
 at Night 22 and 23 feb #IndianArmy Targeting Civil population in NeelumValley Many Houses a…"
