,text
50,"RT @Afreena021: @majorgauravarya @manojmuntashir @republic #Kashmir youth enjoy time from Indian Petriotism

#NamasteyTrump 

#Jaffrabad…"
51,"Indian-administered #Kashmir: It’s hard to prepare for exams without access to the internet, says student Hinna Bas… https://t.co/PJzG789lpK"
52,"RT @Afreena021: @majorgauravarya @manojmuntashir @republic #Kashmir youth enjoy time from Indian Petriotism

#NamasteyTrump 

#Jaffrabad…"
53,RT @mehar3231: @majorgauravarya #Pakistan is facing financial crises that's why they beg from rich countries. Perhaps #Turkey doesn't know…
54,RT @shahjhan_malikk: February 23 is commemorated as “Kashmiri Women’s Resistence Day” inspired by the struggle for #justice of the survivor…
55,"RT @MAhmed73263003: Indian authorities impose strict sanctions on Kashmir women's day.
#IndianCrimes #Islamophobia 
#WomenResistanceDay #Ka…"
56,"RT @SoStarMusic: PM urges world to become voice of resilient Kashmiri women

“Their sufferings have multiplied after 5 Aug siege by #Modi G…"
57,"RT @786__Zakia: Kashmir is face of India,I love my India

Kashmir has never been""Normal""in my 24year old, and sadly it was all Pakistan's t…"
58,"RT @IamOnir: 30 years ... and justice still eludes the survivors of #KunanPoshpora mass rape .
#kashmir 

That Night in Kunan Poshpora by Z…"
59,'Humiliating to the core': how India turned a #Kashmir hotel into a jail https://t.co/8GPb9HDcmK
60,"RT @Husnain4s_: 200+ days of lockdown in #Kashmir. Hidden behind the headlines, Kashmiris Continue to survive. Like never before.
#KashmirL…"
61,"RT @PTIofficial: 200+ horrific days of being caged within the walls of your home with no access to Food, medicine &amp; Internet. This is the l…"
62,"Prime Minister Imran Khan has urged the international community, especially women to become voice of resilient Kash… https://t.co/AcIckvfllI"
63,RT @Amber_Lone: @tequieremos @Fkdotpk1 @FarzanaRasab_ @Jan_Achakzai @AdityaMenon22 @ShireenMazari1 @IndiasMuslims @farrahraja @Muslims4USA…
64,RT @PTIofficial: Modi is a life long member of Racist RRS group which follows the footsteps of Hitler. In order to attain ‘Akhand Bharat’ (…
65,@majorgauravarya #Pakistan is facing financial crises that's why they beg from rich countries. Perhaps #Turkey does… https://t.co/8M3D1ZKpF8
66,RT @PTIofficial: Human Rights Activists have started condemning the hostility of fascist Indian Government in #Kashmir. The Hitler of 20th…
67,RT @PTIofficial: Human Rights Activists have started condemning the hostility of fascist Indian Government in #Kashmir. The Hitler of 20th…
68,"#Kashmir’s #siege crosses 200 days, with countless heart wrenching tales of life.
#EndTheSiege
#KashmirWantsFreedom… https://t.co/ROfRYeLuFi"
69,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
70,"RT @Shannniiiiiii: High chances of severe clashes on #LOC tonight.
#locupdate #Kashmir #Jura #NeelumValley"
71,"RT @KASHMlRandME: Delicate they may be, but
they cannot be repressed.

#Kashmir
#WomenResistanceDay https://t.co/InRnbUrbs4"
72,"RT @Shannniiiiiii: High chances of severe clashes on #LOC tonight.
#locupdate #Kashmir #Jura #NeelumValley"
73,"RT @786__Zakia: The next time you see a Kashmiri, give them a hug!

#Kashmir https://t.co/fAoE1U41Hp"
74,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
75,"RT @tahirqazi: Goosebumps: We are witness on this #KashmirWomenResistanceDay. Watch this #BellaCiao version by our fearless women leaders,…"
76,"RT @fa_zeal: On the night of February 23, 1991, personnel of the 4 Rajputana Rifles of the Indian Army cordoned off the two villages #kunan…"
77,"RT @kabwrites: This night in 1991, time stopped and humanity died. Our motherland witnessed a doom.

#KunanPoshpora

#Kashmir"
78,"RT @mashah06: For bees,the flower is the fountain of life !bees butterflies and flowers have arrived ! #spring #flowers #bees #kashmir . ht…"
79,"RT @Samiyalatief: Goosebumps! #KashmiriWomenResistanceDay #Kashmir #KunanPoshpora 'Bella Ciao, Kashmiri version written/sung by Kashmiri wo…"
80,"RT @IamOnir: 30 years ... and justice still eludes the survivors of #KunanPoshpora mass rape .
#kashmir 

That Night in Kunan Poshpora by Z…"
81,"RT @SoStarMusic: PM urges world to become voice of resilient Kashmiri women

“Their sufferings have multiplied after 5 Aug siege by #Modi G…"
82,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
